FEMA No. and Substance,Beverages (ppm),Density
2178 BUTYL ALCOHOL—1-Butanol,12,0.809
2179 iso-BUTYL ALCOHOL—iso-Butanol,17,0.801
2180 iso-BUTYL ANGELATE,1.5,0.893
2181 BUTYL ANTHRANILATE,1.3,1.074
2182 iso-BUTYL ANTHRANILATE,2,1.066
2183 BUTYLATED HYDROXYANISOLE—BHA,0.82,1
2184 BUTYLATED HYDROXYTOLUENE—BHT,-,1
2185 iso-BUTYL BENZOATE,9,1
2186 BUTYL BUTYRATE,8.6,0.871
2187 iso-BUTYL BUTYRATE,8.3,0.865
2188 BUTYL iso-BUTYRATE,8.7,0.863
2189 iso-BUTYL iso-BUTYRATE,7.5,0.853
2190 BUTYL BUTYRYLLACTATE,13,0.978
2191 a-BUTYLCINNAMALDEHYDE,1,0.945
2192 BUTYL CINNAMATE,0.83,1.014
2193 iso-BUTYL CINNAMATE,1.3,1.009
2194 BUTYL 2-DECENOATE,8,0.899
2195 BUTYL ETHYL MALONATE,3,1
2196 BUTYL FORMATE,2.9,0.892
2197 iso-BUTYL FORMATE,2.2,0.887
2198 iso-BUTYL 2-FURANPROPIONATE,8.1,1.01
2199 BUTYL HEPTANOATE,1,0.865
2200 iso-BUTYL HEPTANOATE,1.5,0.865
2201 BUTYL HEXANOATE,1.7,0.865
2202 iso-BUTYL HEXANOATE,5.4,0.861
2203 BUTYL p-HYDROXYBENZOATE,1000,1.29
"2204 2-BUTYL-5 or 6-KETO-1,4-DIOXANE",-,1.059
2205 BUTYL LACTATE,0.66,0.984
2206 BUTYL LAURATE,3,0.859
2207 BUTYL LEVULINATE,1,0.975
2208 a-iso-BUTYLPHENETHYL ALCOHOL,10,0.956
2209 BUTYL PHENYLACETATE,0.5,0.997
2210 iso-BUTYL PHENYLACETATE,2.8,0.991
2211 BUTYL PROPIONATE,4,0.875
2212 iso-BUTYL PROPIONATE,5.4,0.873
2213 iso-BUTYL SALICYLATE,3.5,1.07
2214 BUTYL STEARATE,1,0.86
2215 BUTYL SULFIDE,1,0.844
2216 BUTYL 10-UNDECENOATE,0.9,0.878
2217 BUTYL VALERATE,3,0.868
2218 BUTYL iso-VALERATE,4.6,0.861
2219 BUTYRALDEHYDE,0.71,0.805
2220 iso-BUTYRALDEHYDE,0.3,0.794
2221 BUTYRIC ACID,5.5,0.963
2222 iso-BUTYRIC ACID,4.1,0.95
2223 (tri-)BUTYRIN,0.1,1.035
2224 CAFFEINE,120,1.23
"2225 CAJEPUT, OIL",2,0.926
2226 CALAMUS [Acarus calamus L.],68,1
"2227 CALAMUS, OIL [Acarus calamus L.]",2,1.078
2228 CALCIUM ACETATE,200,1.5
2229 CAMPHENE,90,0.85
2230 d-CAMPHOR,-,0.992
"2231 CAMPHOR, JAPANESE, WHITE, OIL",5.4,0.875
"2232 *CANANGA, OIL",7,0.923
"2233 *CAPSICUM, EXTRACT",120,1
"2234 *CAPSICUM, OLEORESIN",14,0.94
2235 CARAMEL COLOR,"2,200.00",1.36
2236 *CARAWAY,63,1
"2237 *CARAWAY, BLACK",-,1
"2238 *CARAWAY, OIL",29,0.91
2239 CARBOXYMETHYLCELLULOSE,91,1.6
2240 *CARDAMOM,3,1
"2241 *CARDAMOM SEED, OIL",1.9,0.947
2242 CARMINE,-,1.38
